,created_at_hour,cust_tid,favorite_count,has_profanity,in_business_hours,n_favorites,n_followers,n_following,n_hashtags,n_links,n_mentions,n_statuses,org_tid,protected,ratio_hashtags,ratio_numeric,ratio_user_mentions,responded_at_hour,responded_in,responded_in_bh,retweet_count,sentiment,source,tweet_length,user_age,verified
0,15,971317731655118848,0,1,1,2,2,26,0,0,3,59,971359774108454912,0,0.0,0.0034482758620689655,0.09655172413793103,17,10023.0,7032.0,0,0.8,Twitter for iPhone,290,99435828.0,0
1,18,966660145181872129,0,1,1,5931,112,115,0,0,1,13550,966798512557117440,0,0.0,0.0,0.07333333333333333,3,32990.0,0.0,0,0.8,Twitter for iPhone,150,202447359.0,0
2,7,1000560086933127169,0,1,0,3125,4403,3430,0,0,1,34766,1001044082981068800,0,0.0,0.0,0.08284023668639054,15,115394.0,24282.0,0,0.8,Twitter for Android,169,298130728.0,0
3,17,963022339045756928,0,1,1,410,8,260,2,0,2,140,963237223637405696,0,0.1,0.0,0.2875,7,51232.0,0.0,0,0.8,Twitter for Android,80,16756501.0,0
4,0,961310217920307201,1,1,0,1736,295,1106,0,1,2,2156,961321464833232901,0,0.0,0.02527075812274368,0.08664259927797834,1,2682.0,0.0,0,0.8,Twitter Web Client,277,284102730.0,0
5,17,965915774140366849,0,1,1,35,136,35,0,0,1,342,966023399452659713,0,0.0,0.0,0.7368421052631579,0,25659.0,0.0,0,0.8,Twitter Web Client,19,278712140.0,0
6,12,965839018561712128,0,1,1,35,136,35,0,0,2,342,965915028674240512,0,0.0,0.006369426751592357,0.1464968152866242,17,18122.0,17259.0,0,0.8,Twitter for Android,157,278693840.0,0
7,22,966358131864301568,0,1,0,68,3,39,0,0,1,21,966431342929108994,0,0.0,0.0,0.5185185185185185,3,17455.0,0.0,0,0.8,Twitter for Android,27,134735441.0,0
8,19,966305365930291200,0,1,1,68,3,39,0,0,1,21,966328952422850560,0,0.0,0.01702127659574468,0.059574468085106386,20,5624.0,0.0,0,0.8,Twitter for Android,235,134722860.0,0
9,14,971314856161923073,0,1,1,5393,94,137,0,0,1,705,971324369736818688,0,0.0,0.010526315789473684,0.05789473684210526,15,2268.0,2268.0,2,0.8,Twitter for Android,190,91830041.0,0
10,2,965698059870105600,1,1,0,54,7146,302,0,0,1,453,965698357099364358,0,0.0,0.0,0.1,2,71.0,0.0,0,0.8,Twitter for iPhone,110,221109984.0,0
11,21,947857409732616192,0,1,0,73,1200,16,0,0,1,17404,947858474406481921,0,0.0,0.0,0.125,21,254.0,0.0,0,0.8,Twitter Web Client,112,229846799.0,0
12,20,947839070813634560,0,1,0,73,1200,16,0,0,1,17404,947841284647120896,0,0.0,0.0,0.04895104895104895,20,527.0,0.0,0,0.8,Twitter Web Client,286,229842427.0,0
13,19,947471956697268224,0,1,1,73,1200,16,0,0,1,17404,947475044862701568,0,0.0,0.0,0.14102564102564102,20,736.0,0.0,0,0.8,Twitter for Android,78,229754900.0,0
14,6,1000545467091111936,0,1,0,527,4,70,0,0,1,241,1000549786943188993,0,0.0,0.0,0.1728395061728395,7,1030.0,0.0,0,0.8,Twitter Lite,81,30207962.0,0
15,9,993698222290997248,0,1,0,527,4,70,0,0,2,241,993747116848812032,0,0.0,0.0,0.8333333333333334,12,11658.0,11658.0,0,0.8,Twitter Lite,30,28575451.0,0
16,17,963022226319642625,0,1,1,16,56,289,0,0,4,61,963133022412394498,0,0.0,0.0,0.39655172413793105,0,26416.0,0.0,0,0.8,Twitter for Android,116,116904615.0,0
17,15,962996828819152896,0,1,1,16,56,289,0,0,3,61,962997210970542080,0,0.0,0.017241379310344827,0.5517241379310345,16,91.0,91.0,0,0.8,Twitter for Android,58,116898560.0,0
18,23,961305725090848768,0,1,0,214,41,220,0,0,2,566,961316586471804930,0,0.0,0.0,0.08780487804878048,0,2590.0,0.0,0,0.8,Twitter for Android,205,221284493.0,0
19,17,965913937769312256,0,1,1,2908,457,708,0,0,1,2398,965945388963332097,0,0.0,0.0,0.12790697674418605,19,7498.0,0.0,0,0.8,Twitter for Android,86,244359519.0,0
20,11,971269812365266944,0,1,1,201,145,124,0,0,1,583,971270368236331009,0,0.0,0.03636363636363636,0.12727272727272726,11,132.0,132.0,0,0.8,Twitter for Android,110,251655523.0,0
21,11,971266996385001474,0,1,1,201,145,124,0,0,3,583,971268051776823303,0,0.0,0.0,0.2023121387283237,11,252.0,252.0,0,0.8,Twitter for Android,173,251654851.0,0
22,22,966357358342561794,0,1,0,110,108,225,0,0,3,881,966430313290268672,0,0.0,0.02197802197802198,0.3076923076923077,3,17394.0,0.0,0,0.8,Twitter for Android,91,270945398.0,0
23,1,965677377610117121,0,1,0,3957,702,2115,0,0,1,22488,965695830568075275,0,0.0,0.0,0.7368421052631579,2,4400.0,0.0,0,0.8,Twitter for iPhone,19,284701330.0,0
24,17,965560471448256512,0,1,1,3957,702,2115,0,0,1,22488,965675890964422657,0,0.0,0.0,0.13725490196078433,1,27518.0,0.0,0,0.8,Twitter for iPhone,102,284673458.0,0
25,12,965480386250784768,0,1,1,3957,702,2115,0,0,1,22488,965556464084574208,0,0.0,0.0,0.3333333333333333,17,18138.0,16364.0,0,0.8,Twitter for iPhone,39,284654364.0,0
26,20,947848125489778688,0,1,0,338,33,188,0,0,1,75,947855438523129856,0,0.0,0.0,0.09395973154362416,21,1744.0,0.0,0,0.8,Twitter for iPhone,149,135977071.0,0
27,20,947846304293629953,0,1,0,338,33,188,0,0,1,75,947847169695977474,0,0.0,0.02912621359223301,0.13592233009708737,20,207.0,0.0,0,0.8,Twitter for iPhone,103,135976637.0,0
28,6,1000535658698452992,0,1,0,313,24,71,1,0,2,223,1000535786360573952,0,0.01845018450184502,0.007380073800738007,0.08118081180811808,6,31.0,0.0,0,0.8,Twitter for Android,271,123969152.0,0
29,17,963021824991768576,0,1,1,254,264,312,0,0,3,2214,963125059127791616,0,0.0,0.0,0.24375,0,24613.0,0.0,0,0.8,Twitter for Android,160,290395767.0,0
30,23,961305130263031808,0,1,0,408,319,247,2,0,2,1831,961341534477176832,0,0.034013605442176874,0.061224489795918366,0.06802721088435375,2,8680.0,0.0,0,0.8,Twitter Web Client,294,312769547.0,0
31,11,951688989580382208,0,1,1,408,319,247,1,0,1,1831,951691138095833088,0,0.17857142857142858,0.0,0.5,11,512.0,512.0,0,0.8,Twitter Lite,28,310476881.0,0
32,9,951668403483369473,1,1,0,408,319,247,0,0,4,1831,951676012940746752,0,0.0,0.015444015444015444,0.1776061776061776,10,1814.0,1814.0,0,0.8,Twitter Lite,259,310471973.0,0
33,17,965913356115705856,0,1,1,2,4,59,0,0,2,8,965948616010534913,0,0.0,0.03529411764705882,0.14705882352941177,19,8407.0,0.0,0,0.8,Twitter for Android,170,120963933.0,0
34,22,966356105013157888,1,1,0,18037,2935,804,0,0,1,33153,966357258035716102,0,0.0,0.012269938650306749,0.08588957055214724,22,275.0,0.0,0,0.8,Twitter for Android,163,167314067.0,0
35,11,971266996385001474,0,1,1,201,145,124,0,0,3,583,971268051776823303,0,0.0,0.0,0.2023121387283237,11,252.0,252.0,0,0.8,Twitter for Android,173,251654851.0,0
36,1,965675566845358081,0,1,0,16,6,24,0,0,1,162,965695962957123584,0,0.0,0.041666666666666664,0.19444444444444445,2,4862.0,0.0,0,0.8,Twitter for Android,72,257661175.0,0
37,23,965652970548416517,0,1,0,16,6,24,0,0,5,162,965660440691961856,0,0.0,0.0,0.9365079365079365,0,1781.0,0.0,0,0.8,Twitter for Android,63,257655787.0,0
38,20,947846801813630979,0,1,0,1634,38,178,0,0,1,429,947847702561345537,0,0.0,0.0,0.08433734939759036,20,215.0,0.0,0,0.8,Twitter for iPhone,166,257427154.0,0
39,17,947806430861647872,3,1,1,1634,38,178,0,0,1,429,947843068568449025,0,0.0,0.034129692832764506,0.04778156996587031,20,8735.0,0.0,0,0.8,Twitter for iPhone,293,257417529.0,0
40,9,947684562867388416,0,1,0,1634,38,178,0,0,1,429,947685275341385734,0,0.0,0.027522935779816515,0.06422018348623854,9,170.0,170.0,0,0.8,Twitter for iPhone,218,257388473.0,0
41,9,947311577778262016,1,1,0,1634,38,178,0,0,1,429,947314713444126720,0,0.0,0.055865921787709494,0.0782122905027933,9,748.0,0.0,1,0.8,Twitter for iPhone,179,257299546.0,0
42,5,1000533226585128960,0,1,0,11,193,326,0,0,1,3703,1000533479782744065,0,0.0,0.0,0.1,5,61.0,0.0,0,0.8,Twitter for Android,140,175991895.0,0
43,18,1000362577317294080,0,1,1,11,193,326,0,0,2,3703,1000526796054556672,0,0.0,0.0,0.09696969696969697,5,39153.0,0.0,0,0.8,Twitter for Android,165,175951209.0,0
44,17,963021814241751040,3,1,1,100,17,32,0,0,1,12,963124739760943105,0,0.0,0.01020408163265306,0.11224489795918367,0,24539.0,0.0,0,0.8,Twitter for Android,98,88641393.0,0
45,23,961302227666198528,0,1,0,7,4,5,0,0,1,109,961341777419661312,0,0.0,0.0,0.5384615384615384,2,9430.0,0.0,0,0.8,Twitter for Android,26,84411853.0,0
46,19,961232868973338624,0,1,1,7,4,5,0,0,1,109,961301507881816065,0,0.0,0.0392156862745098,0.054901960784313725,23,16365.0,0.0,0,0.8,Twitter for Android,255,84395317.0,0
47,17,965911510731182080,0,1,1,212,136,119,0,0,1,390,966072119388930048,0,0.0,0.0,0.1794871794871795,3,38292.0,0.0,0,0.8,Twitter for Android,78,237517121.0,0
48,9,971237332631326721,0,1,0,30,40,90,0,0,1,190,971239903022501894,0,0.0,0.0,0.1308411214953271,9,613.0,613.0,0,0.8,Twitter for Android,107,125786832.0,0
49,14,969137182450552832,0,1,1,30,40,90,0,0,1,190,969143995589910528,0,0.0,0.0,0.08396946564885496,15,1625.0,1625.0,1,0.8,Twitter for Android,131,125286117.0,0
