,created_at_hour,cust_tid,favorite_count,has_profanity,in_business_hours,n_favorites,n_followers,n_following,n_hashtags,n_links,n_mentions,n_statuses,org_tid,protected,ratio_hashtags,ratio_numeric,ratio_user_mentions,responded_at_hour,responded_in,responded_in_bh,retweet_count,sentiment,source,tweet_length,user_age,verified
0,16,1000698840217989121,0,1,1,918,40,1111,0,0,1,595,1000699085987315712,0,0.0,0.0,0.1797752808988764,16,58.0,0.0,0,0.8,Twitter for Android,89,148378040.0,0
1,16,1000698324788232192,0,1,1,2,6,14,0,0,1,23,1000698562735296513,0,0.0,0.0,0.19753086419753085,16,57.0,0.0,0,0.8,Twitter for Android,81,138839007.0,0
2,11,1000255978716057600,0,1,1,2,6,14,0,0,1,23,1000256236217028608,0,0.0,0.0,0.42105263157894735,11,62.0,0.0,0,0.8,Twitter for Android,38,138733543.0,0
3,15,999959122547126272,0,1,1,2,6,14,0,0,1,23,999959242802057216,0,0.0,0.37037037037037035,0.5925925925925926,15,29.0,29.0,0,0.8,Twitter for Android,27,138662767.0,0
4,14,999939277541654529,0,1,1,2,6,14,0,0,1,23,999957968010461184,0,0.0,0.0,0.1523809523809524,15,4456.0,4456.0,0,0.8,Twitter for Android,105,138658036.0,0
5,14,999938434788614145,0,1,1,2,6,14,0,0,1,23,999938979456733185,0,0.0,0.06521739130434782,0.03260869565217391,14,130.0,130.0,0,0.8,Twitter for Android,276,138657835.0,0
6,16,1000695800702234624,0,1,1,108,45,57,0,0,1,627,1000695941920243712,0,0.0,0.0,0.08247422680412371,16,34.0,0.0,0,0.8,Twitter for Android,194,272966378.0,0
7,7,1000562782184468480,0,1,0,108,45,57,0,0,1,627,1000563067925643265,0,0.0,0.0,0.21333333333333335,7,68.0,0.0,0,0.8,Twitter for Android,75,272934664.0,0
8,16,1000325627407319040,0,1,1,108,45,57,0,0,1,627,1000326080748650496,0,0.0,0.0,0.15384615384615385,16,108.0,0.0,0,0.8,Twitter for Android,104,272878122.0,0
9,19,1000011080037384192,0,1,1,108,45,57,0,0,1,627,1000011777843712002,0,0.0,0.0,0.055944055944055944,19,166.0,0.0,0,0.8,Twitter for Android,286,272803128.0,0
10,12,999907650790805504,0,1,1,108,45,57,0,0,1,627,999907935210754050,0,0.0,0.0,0.1,12,68.0,68.0,0,0.8,Twitter for Android,160,272778468.0,0
11,18,999641353519747072,0,1,1,108,45,57,0,0,1,627,999642003099959296,0,0.0,0.0,0.06639004149377593,18,155.0,0.0,0,0.8,Twitter for Android,241,272714978.0,0
12,15,999591537196453888,0,1,1,108,45,57,0,0,1,627,999591964365406208,0,0.0,0.0,0.26229508196721313,15,102.0,102.0,0,0.8,Twitter for Android,61,272703101.0,0
