,created_at_hour,cust_tid,favorite_count,has_profanity,in_business_hours,n_favorites,n_followers,n_following,n_hashtags,n_links,n_mentions,n_statuses,org_tid,protected,ratio_hashtags,ratio_numeric,ratio_user_mentions,responded_at_hour,responded_in,responded_in_bh,retweet_count,sentiment,source,tweet_length,user_age,verified
0,3,978387880967131137,2,1,0,5216,3000,1846,0,1,2,16418,978450985650704384,0,0.0,0.02926829268292683,0.09268292682926829,7,15045.0,0.0,0,0.8,Twitter Web Client,205,218350405.0,1
1,20,953280349282463745,0,1,0,2305,585,1030,1,0,0,13428,953283843209027584,0,0.031914893617021274,0.0,0.0,20,833.0,0.0,0,0.8,Twitter Lite,188,239488405.0,0
2,6,938940824968085505,0,1,0,5460,436,350,0,0,1,59714,938942239685992449,0,0.0,0.0,0.21428571428571427,6,337.0,0.0,0,0.8,Twitter for iPhone,28,256220813.0,0
3,19,938769450710396928,0,1,1,5460,436,350,0,0,0,59714,938939881597882368,0,0.0,0.0,0.0,6,40634.0,0.0,0,0.8,Twitter Web Client,30,256179954.0,0
4,23,938475145114550272,0,1,0,820,306,123,0,0,1,8288,938475849824776193,0,0.0,0.0,0.10344827586206896,0,168.0,0.0,0,0.8,Twitter Web Client,58,285561410.0,0
5,23,938469412637761536,0,1,0,820,306,123,0,0,1,8288,938471752409272326,0,0.0,0.0,0.023715415019762844,23,558.0,0.0,0,0.8,Twitter Web Client,253,285560043.0,0
6,23,938463869403402240,0,1,0,820,306,123,0,0,1,8288,938467665122877440,0,0.0,0.0,0.06060606060606061,23,905.0,0.0,0,0.8,Twitter Web Client,99,285558721.0,0
7,22,938450434246750208,0,1,0,820,306,123,0,0,1,8288,938456222629588992,0,0.0,0.016260162601626018,0.04878048780487805,22,1380.0,0.0,0,0.8,Twitter Web Client,123,285555518.0,0
8,19,960506921760407552,0,1,1,1341,55,152,0,0,1,645,960511680953319426,0,0.0,0.0,0.08,19,1134.0,0.0,0,0.8,Twitter for Android,75,58482989.0,0
9,18,960503725184831489,0,1,1,1341,55,152,0,0,1,645,960506427948322816,0,0.0,0.008849557522123894,0.05309734513274336,19,644.0,0.0,0,0.8,Twitter for Android,113,58482227.0,0
10,14,960436911608246272,0,1,1,1341,55,152,0,0,1,645,960483389815050241,0,0.0,0.034482758620689655,0.10344827586206896,17,11081.0,9222.0,0,0.8,Twitter for Android,58,58466297.0,0
11,20,953274918204043264,1,1,0,538,1402,514,0,0,2,14749,953279295627124737,0,0.0,0.0,0.1919191919191919,20,1043.0,0.0,0,0.8,Twitter Web Client,99,282264760.0,0
12,6,938931402153881600,0,1,0,756,44,107,0,0,1,145,939091541947273216,0,0.0,0.0,0.08823529411764706,16,38180.0,28045.0,0,0.8,Twitter for Android,68,93345061.0,0
13,19,938406938735464448,0,1,1,756,44,107,0,0,1,145,938930042964410369,0,0.0,0.0,0.0967741935483871,6,124718.0,28800.0,0,0.8,Twitter for Android,62,93220019.0,0
14,19,938400331167420417,0,1,1,756,44,107,0,0,0,145,938405449493286912,0,0.0,0.0,0.0,19,1220.0,0.0,0,0.8,Twitter for Android,56,93218444.0,0
15,2,978368784653197317,0,1,0,6846,7006,1103,0,0,1,9443,978381512377761792,0,0.0,0.0,0.10526315789473684,2,3034.0,0.0,0,0.8,Twitter for iPhone,57,319003003.0,0
16,0,978352614508183554,1,1,0,6846,7006,1103,0,0,1,9443,978354553765728256,0,0.0,0.0,0.04316546762589928,1,463.0,0.0,0,0.8,Twitter for iPad,139,318999147.0,0
17,21,978296918085222400,3,1,0,6846,7006,1103,0,0,0,9443,978338735510245376,0,0.0,0.0,0.0,0,9970.0,0.0,0,0.8,Twitter for iPhone,69,318985868.0,0
18,18,960503725184831489,0,1,1,1341,55,152,0,0,1,645,960506427948322816,0,0.0,0.008849557522123894,0.05309734513274336,19,644.0,0.0,0,0.8,Twitter for Android,113,58482227.0,0
19,14,960436911608246272,0,1,1,1341,55,152,0,0,1,645,960483389815050241,0,0.0,0.034482758620689655,0.10344827586206896,17,11081.0,9222.0,0,0.8,Twitter for Android,58,58466297.0,0
20,19,953260384114245633,0,1,1,1206,6,59,0,0,0,1155,953263916192272384,0,0.0,0.0,0.0,19,843.0,0.0,0,0.8,Echofon,33,13755871.0,0
21,5,938922263696592896,0,1,0,13,476,956,0,0,2,23439,941769712698056705,0,0.0,0.011494252873563218,0.07279693486590039,2,678885.0,172800.0,0,0.8,Twitter Web Client,261,276923492.0,0
22,23,938473026609442817,0,1,0,6138,150,344,0,0,1,10081,938474911911292929,0,0.0,0.0,0.06896551724137931,23,449.0,0.0,0,0.8,Twitter for iPhone,87,219550325.0,0
23,21,938438591717486592,0,1,0,6138,150,344,0,0,1,10081,938443064015802368,0,0.0,0.0,0.21428571428571427,21,1066.0,0.0,0,0.8,Twitter Web Client,28,219542115.0,0
24,1,978368356439879680,0,1,0,897,256,487,0,0,1,389,979158777961304068,0,0.0,0.0,0.027649769585253458,6,188451.0,57600.0,0,0.8,Twitter Web Client,217,177819380.0,0
25,1,978365938151014402,0,1,0,897,256,487,0,0,1,389,978366888727195649,0,0.0,0.0,0.04375,1,227.0,0.0,0,0.8,Twitter Web Client,160,177818803.0,0
26,18,960503262007902210,0,1,1,11317,309,280,0,0,1,3783,960661034846576640,0,0.0,0.0,0.2608695652173913,5,37616.0,0.0,1,0.8,Twitter for Android,23,20000724.0,0
27,18,960500975264980992,0,1,1,11317,309,280,0,0,0,3783,960502567007674368,0,0.0,0.0,0.0,18,379.0,0.0,0,0.8,Twitter for Android,139,20000179.0,0
28,19,953259828897488896,0,1,1,2812,753,484,0,0,0,15908,953262741447376903,0,0.0,0.0,0.0,19,694.0,0.0,0,0.8,Twitter for iPad,20,38199340.0,0
29,5,938922150395645957,0,1,0,3989,370,280,0,0,0,18129,938926169545756672,0,0.0,0.0,0.0,5,958.0,0.0,0,0.8,TweetDeck,38,76652283.0,0
30,7,970835085250281473,0,1,0,552,59,163,0,0,1,1786,970837577262665729,0,0.0,0.0,0.048,7,594.0,0.0,0,0.8,Twitter for iPhone,125,25392793.0,0
31,6,970830395523530753,2,1,0,552,59,163,0,0,0,1786,970834533389164546,0,0.0,0.0,0.0,7,986.0,0.0,0,0.8,Twitter for iPhone,37,25391675.0,0
32,16,970970777334972417,6,1,1,21,3,43,0,0,1,27,970974294095355904,0,0.0,0.0,0.08450704225352113,16,839.0,839.0,1,0.8,Twitter for Android,71,160504675.0,0
33,1,978365938151014402,0,1,0,897,256,487,0,0,1,389,978366888727195649,0,0.0,0.0,0.04375,1,227.0,0.0,0,0.8,Twitter Web Client,160,177818803.0,0
34,23,949345137313964038,0,1,0,4463,92,61,0,0,1,6978,949390052378988544,0,0.0,0.0,0.09836065573770492,2,10708.0,0.0,0,0.8,Twitter for Android,61,276437348.0,0
35,7,949094936984551424,0,1,0,4463,92,61,0,0,1,6978,949102589064417280,0,0.0,0.0,0.1935483870967742,7,1825.0,0.0,0,0.8,Twitter for Android,31,276377695.0,0
36,4,949056021179355141,0,1,0,4463,92,61,0,0,1,6978,949060335859679232,0,0.0,0.0,0.04878048780487805,4,1029.0,0.0,0,0.8,Twitter for Android,123,276368417.0,0
37,0,948990287132680192,1,1,0,4463,92,61,0,0,1,6978,948996148055900161,0,0.0,0.0,0.0335195530726257,0,1397.0,0.0,0,0.8,Twitter for Android,179,276352745.0,0
38,18,960500975264980992,0,1,1,11317,309,280,0,0,0,3783,960502567007674368,0,0.0,0.0,0.0,18,379.0,0.0,0,0.8,Twitter for Android,139,20000179.0,0
39,18,953251056170905601,0,1,1,3458,306,148,0,0,0,4595,953252634718343168,0,0.0,0.0,0.0,18,377.0,0.0,0,0.8,TweetDeck,52,30449674.0,0
40,5,938922008355786752,0,1,0,221,86,662,0,0,1,405,938934196478906368,0,0.0,0.0,0.08,6,2906.0,0.0,0,0.8,Twitter for Android,75,269175010.0,0
41,6,938214394386927616,0,1,0,221,86,662,0,0,1,405,938921737089101825,0,0.0,0.0,0.13043478260869565,5,168644.0,57600.0,0,0.8,Twitter for Android,46,269006302.0,0
42,6,938204071667929088,0,1,0,221,86,662,0,0,1,405,938210516769607687,0,0.0,0.125,0.375,6,1536.0,0.0,0,0.8,Twitter for Android,16,269003841.0,0
43,5,938191064816672769,0,1,0,221,86,662,0,0,1,405,938197884004110336,0,0.0,0.0,0.09375,5,1626.0,0.0,0,0.8,Twitter for Android,64,269000740.0,0
44,6,970830395523530753,2,1,0,552,59,163,0,0,0,1786,970834533389164546,0,0.0,0.0,0.0,7,986.0,0.0,0,0.8,Twitter for iPhone,37,25391675.0,0
45,23,938470880828641282,0,1,0,0,8,43,2,0,1,4,938473791918870528,0,0.05027932960893855,0.0,0.0335195530726257,23,694.0,0.0,0,0.8,Twitter Web Client,179,226492091.0,0
46,1,978355762761256960,0,1,0,208,23,212,0,0,1,2569,978364572787728384,0,0.0,0.0,0.034482758620689655,1,2100.0,0.0,0,0.8,Twitter for Android,174,222044614.0,0
47,21,978297141142704128,0,1,0,208,23,212,0,0,1,2569,978298454853259264,0,0.0,0.1111111111111111,0.3333333333333333,21,314.0,0.0,0,0.8,Twitter for Android,18,222030637.0,0
48,20,978280928752689154,0,1,0,208,23,212,1,0,1,2569,978289552736571393,0,0.02531645569620253,0.006329113924050633,0.0379746835443038,20,2056.0,0.0,0,0.8,Twitter for Android,158,222026772.0,0
49,18,960492625487941633,0,1,1,12805,40319,2670,0,0,1,14078,960609497688485888,0,0.0,0.0,0.14634146341463414,1,27865.0,0.0,0,0.8,Twitter for iPhone,41,162912949.0,0
50,15,959360360712196096,0,1,1,12805,40319,2670,0,0,0,14078,960490252564598785,0,0.0,0.0,0.0,17,269387.0,35492.0,0,0.8,Twitter for iPhone,71,162642996.0,0
51,18,953243320200830976,0,1,1,148,48,153,0,0,0,35370,953250213053063168,0,0.0,0.0,0.0,18,1643.0,0.0,0,0.8,Twitter for iPhone,74,266971822.0,0
52,7,949091435940376576,0,1,0,25192,424,532,0,0,1,12127,949457781391790081,0,0.0,0.0,0.1276595744680851,7,87343.0,28800.0,0,0.8,Twitter for iPhone,47,267701747.0,0
53,6,949084371075641344,0,1,0,25192,424,532,0,0,1,12127,949090139967574017,0,0.0,0.04054054054054054,0.08108108108108109,6,1376.0,0.0,0,0.8,Twitter for iPhone,74,267700062.0,0
54,6,949081431833235456,0,1,0,25192,424,532,0,0,1,12127,949082913328586753,0,0.0,0.0,0.046875,6,353.0,0.0,0,0.8,Twitter for iPhone,128,267699362.0,0
55,6,949078965439909888,2,1,0,25192,424,532,0,0,0,12127,949080952201994240,0,0.0,0.0,0.0,6,473.0,0.0,0,0.8,Twitter Web Client,52,267698774.0,0
56,5,938921918656155649,0,1,0,224,416,494,0,1,1,135,938933385728331776,0,0.0,0.0,0.0821917808219178,6,2734.0,0.0,0,0.8,Twitter Web Client,73,275523112.0,0
57,23,938104147286548480,0,1,0,224,416,494,0,0,1,135,938559625242337281,0,0.0,0.0,0.047619047619047616,5,108594.0,28800.0,0,0.8,Twitter for iPhone,126,275328140.0,0
58,22,938094526635302913,0,1,0,224,416,494,0,0,1,135,938099342082224128,0,0.0,0.0,0.04918032786885246,23,1148.0,0.0,0,0.8,Twitter Web Client,122,275325846.0,0
59,21,938080646517350400,0,1,0,224,416,494,0,0,1,135,938088588025135104,0,0.0,0.0,0.04285714285714286,22,1893.0,0.0,0,0.8,Twitter Web Client,140,275322537.0,0
60,20,938067908076355584,0,1,0,224,416,494,0,0,1,135,938074597911662592,0,0.0,0.0,0.03896103896103896,21,1595.0,0.0,0,0.8,Twitter Web Client,154,275319500.0,0
61,5,970817320971939840,0,1,0,14,34,563,0,0,1,66,970820894607233025,0,0.0,0.0,0.028037383177570093,6,852.0,0.0,0,0.8,Tweetbot for iΟS,214,153526366.0,0
62,23,938469412637761536,0,1,0,820,306,123,0,0,1,8288,938471752409272326,0,0.0,0.0,0.023715415019762844,23,558.0,0.0,0,0.8,Twitter Web Client,253,285560043.0,0
63,23,938463869403402240,0,1,0,820,306,123,0,0,1,8288,938467665122877440,0,0.0,0.0,0.06060606060606061,23,905.0,0.0,0,0.8,Twitter Web Client,99,285558721.0,0
64,22,938450434246750208,0,1,0,820,306,123,0,0,1,8288,938456222629588992,0,0.0,0.016260162601626018,0.04878048780487805,22,1380.0,0.0,0,0.8,Twitter Web Client,123,285555518.0,0
65,0,978352614508183554,1,1,0,6846,7006,1103,0,0,1,9443,978354553765728256,0,0.0,0.0,0.04316546762589928,1,463.0,0.0,0,0.8,Twitter for iPad,139,318999147.0,0
66,21,978296918085222400,3,1,0,6846,7006,1103,0,0,0,9443,978338735510245376,0,0.0,0.0,0.0,0,9970.0,0.0,0,0.8,Twitter for iPhone,69,318985868.0,0
67,7,949100103926669313,0,1,0,2071,108,271,0,0,0,1892,949101297185239041,0,0.0,0.0,0.0,7,285.0,0.0,0,0.8,Twitter for Android,40,3816197.0,0
68,23,948972699476418560,1,1,0,32,246,276,0,0,2,901,949051108932096000,0,0.0,0.0,0.175,4,18694.0,0.0,0,0.8,Twitter Web Client,120,195162836.0,0
69,18,960490929802088448,0,1,1,4175,1056,183,0,0,1,31803,960498797045604353,0,0.0,0.0,0.046511627906976744,18,1876.0,0.0,0,0.8,Twitter for Android,129,251987882.0,0
